route,weight_cur,weight_prev,weight_xl,weight_lp,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p35_wprev0p15_wxl0p35_wlp0p15_raw,0.35,0.15,0.35,0.15,,0.0,0.0,1.0,hard,37.56937082288447,0.9987036436796188,0.9882942885160446,0.026836857199668884,45.48450754759494,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p35_wlp0p15_raw.csv
wcur0p4_wprev0p1_wxl0p35_wlp0p15_raw,0.4,0.1,0.35,0.15,,0.0,0.0,1.0,hard,37.56801327019297,0.9987028688192368,0.9882931113243103,0.026842942461371422,45.48313082083427,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p1_wxl0p35_wlp0p15_raw.csv
wcur0p25_wprev0p25_wxl0p3_wlp0p2_raw,0.25,0.25,0.3,0.2,,0.0,0.0,1.0,hard,37.565620869679684,0.9987034797668457,0.9882716238498688,0.026848418405279517,45.48068815916994,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p25_wxl0p3_wlp0p2_raw.csv
wcur0p35_wprev0p15_wxl0p3_wlp0p2_raw,0.35,0.15,0.3,0.2,,0.0,0.0,1.0,hard,37.563584232480615,0.9987034052610397,0.9882696866989136,0.026856904849410057,45.47863022774586,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p15_wxl0p3_wlp0p2_raw.csv
wcur0p4_wprev0p1_wxl0p3_wlp0p2_raw,0.4,0.1,0.3,0.2,,0.0,0.0,1.0,hard,37.562220309589605,0.998702809214592,0.9882684350013733,0.026864301413297653,45.47724543205331,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p4_wprev0p1_wxl0p3_wlp0p2_raw.csv
wcur0p25_wprev0p2_wxl0p55_wlp0_raw,0.25,0.2,0.55,0.0,,0.0,0.0,1.0,hard,37.561042290112,0.9986984878778458,0.9883081018924713,0.026804450433701277,45.476240520296614,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p55_wlp0_raw.csv
wcur0p3_wprev0p15_wxl0p55_wlp0_raw,0.3,0.15,0.55,0.0,,0.0,0.0,1.0,hard,37.560031260861024,0.9986980706453323,0.9883069694042206,0.026808616239577532,45.475216391062304,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p55_wlp0_raw.csv
wcur0p25_wprev0p2_wxl0p525_wlp0p025_raw,0.25,0.2,0.525,0.025,,0.0,0.0,1.0,hard,37.55993089754606,0.9986994117498398,0.9882998019456863,0.026824611704796553,45.47507774852688,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p525_wlp0p025_raw.csv
wcur0p3_wprev0p15_wxl0p525_wlp0p025_raw,0.3,0.15,0.525,0.025,,0.0,0.0,1.0,hard,37.55891648060318,0.9986988455057144,0.9882988333702087,0.02683124179020524,45.474044736797474,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p525_wlp0p025_raw.csv
wcur0p35_wprev0p1_wxl0p55_wlp0_raw,0.35,0.1,0.55,0.0,,0.0,0.0,1.0,hard,37.55879092161243,0.9986979961395264,0.9883058071136475,0.026815063320100307,45.47396038603668,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p55_wlp0_raw.csv
wcur0p25_wprev0p2_wxl0p5_wlp0p05_raw,0.25,0.2,0.5,0.05,,0.0,0.0,1.0,hard,37.558579399881026,0.9986993372440338,0.9882909059524536,0.026846406515687704,45.47366442221876,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p5_wlp0p05_raw.csv
wcur0p35_wprev0p1_wxl0p525_wlp0p025_raw,0.35,0.1,0.525,0.025,,0.0,0.0,1.0,hard,37.55767254603765,0.998698353767395,0.9882975369691849,0.02683828165754676,45.4727811792653,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p525_wlp0p025_raw.csv
wcur0p3_wprev0p15_wxl0p5_wlp0p05_raw,0.3,0.15,0.5,0.05,,0.0,0.0,1.0,hard,37.55756141200984,0.9986995160579681,0.98828986287117,0.026852961163967848,45.47263231177205,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p5_wlp0p05_raw.csv
wcur0p25_wprev0p2_wxl0p475_wlp0p075_raw,0.25,0.2,0.475,0.075,,0.0,0.0,1.0,hard,37.556987829664926,0.9986998736858368,0.9882815182209015,0.02686494868248701,45.472020210856776,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p475_wlp0p075_raw.csv
wcur0p35_wprev0p1_wxl0p5_wlp0p05_raw,0.35,0.1,0.5,0.05,,0.0,0.0,1.0,hard,37.556314125923805,0.9986989945173264,0.9882885962724686,0.026860141893848777,45.471365001785,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p5_wlp0p05_raw.csv
wcur0p3_wprev0p15_wxl0p475_wlp0p075_raw,0.3,0.15,0.475,0.075,,0.0,0.0,1.0,hard,37.555966660055574,0.9986994713544846,0.9882804453372955,0.026872438844293356,45.470979501168486,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p475_wlp0p075_raw.csv
