route,weight_cur,weight_prev,weight_ssttta,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p35_wprev0p35_wssttta0p3_raw,0.35,0.35,0.3,,0.0,0.0,1.0,hard,33.972595125812234,0.9980009973049164,0.9774254560470581,0.045695297235700615,41.824061427264446,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p35_wprev0p35_wssttta0p3_raw.csv
wcur0p5_wprev0p2_wssttta0p3_raw,0.5,0.2,0.3,,0.0,0.0,1.0,hard,33.97250352462318,0.9980004494388898,0.9774280180533726,0.04568999445715841,41.823982268448944,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p5_wprev0p2_wssttta0p3_raw.csv
wcur0p425_wprev0p3_wssttta0p275_raw,0.425,0.3,0.275,,0.0,0.0,1.0,hard,33.96759736195536,0.9979990174372991,0.977395876745383,0.045678698129874344,41.81902582381018,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p425_wprev0p3_wssttta0p275_raw.csv
wcur0p45_wprev0p275_wssttta0p275_raw,0.45,0.275,0.275,,0.0,0.0,1.0,hard,33.96758819724289,0.9979989349842071,0.9773963357011477,0.045677957848723354,41.81901856285298,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p45_wprev0p275_wssttta0p275_raw.csv
wcur0p4_wprev0p325_wssttta0p275_raw,0.4,0.325,0.275,,0.0,0.0,1.0,hard,33.96757958168476,0.9979990109801292,0.97739537358284,0.045679627185260564,41.819005140360694,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p4_wprev0p325_wssttta0p275_raw.csv
wcur0p475_wprev0p25_wssttta0p275_raw,0.475,0.25,0.275,,0.0,0.0,1.0,hard,33.9675519332505,0.9979988028605778,0.977396749953429,0.045677176555424616,41.81898389720997,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p475_wprev0p25_wssttta0p275_raw.csv
wcur0p375_wprev0p35_wssttta0p275_raw,0.375,0.35,0.275,,0.0,0.0,1.0,hard,33.96753461190354,0.9979990790287654,0.9773948500553767,0.04568062860538096,41.81895752897612,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p375_wprev0p35_wssttta0p275_raw.csv
wcur0p5_wprev0p225_wssttta0p275_raw,0.5,0.225,0.275,,0.0,0.0,1.0,hard,33.96748858724547,0.997998628516992,0.9773971026142438,0.04567648046213435,41.81892160265164,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p5_wprev0p225_wssttta0p275_raw.csv
wcur0p45_wprev0p3_wssttta0p25_raw,0.45,0.3,0.25,,0.0,0.0,1.0,hard,33.96186662607189,0.9979967683553695,0.9773621653517087,0.04566277197930806,41.81324602294891,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p45_wprev0p3_wssttta0p25_raw.csv
wcur0p5_wprev0p25_wssttta0p25_raw,0.5,0.25,0.25,,0.0,0.0,1.0,hard,33.96180617236466,0.9979964966575304,0.9773630385597547,0.0456608371285256,41.8131895551723,experiments/hat_hat_ssttta_highprev_full120_20260512/wcur0p5_wprev0p25_wssttta0p25_raw.csv
