route,weight_cur,weight_prev,weight_ssttta,weight_sstraw,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p325_wprev0p2_wssttta0p375_wsstraw0p1_raw,0.325,0.2,0.375,0.1,,0.0,0.0,1.0,hard,33.98681600895422,0.9980066612362861,0.9775422597924869,0.04573862460432186,41.83846324674827,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p2_wssttta0p375_wsstraw0p1_raw.csv
wcur0p275_wprev0p175_wssttta0p55_wsstraw0_raw,0.275,0.175,0.55,0.0,,0.0,0.0,1.0,hard,33.98680140257732,0.9980082511901855,0.9775618309775989,0.045781376841963116,41.83841181798971,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p175_wssttta0p55_wsstraw0_raw.csv
wcur0p35_wprev0p175_wssttta0p375_wsstraw0p1_raw,0.35,0.175,0.375,0.1,,0.0,0.0,1.0,hard,33.986756031850994,0.9980065157016118,0.9775424942374229,0.04573796779586701,41.838404178943776,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p175_wssttta0p375_wsstraw0p1_raw.csv
wcur0p275_wprev0p2_wssttta0p45_wsstraw0p075_raw,0.275,0.2,0.45,0.075,,0.0,0.0,1.0,hard,33.98677211182436,0.9980075096090635,0.9775550623734792,0.04576220071855156,41.838402892788594,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p2_wssttta0p45_wsstraw0p075_raw.csv
wcur0p3_wprev0p175_wssttta0p45_wsstraw0p075_raw,0.3,0.175,0.45,0.075,,0.0,0.0,1.0,hard,33.98672728213493,0.9980074847737949,0.9775552908579509,0.045761613508996865,41.838359545475605,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p175_wssttta0p45_wsstraw0p075_raw.csv
wcur0p3_wprev0p15_wssttta0p55_wsstraw0_raw,0.3,0.15,0.55,0.0,,0.0,0.0,1.0,hard,33.98673759840035,0.9980081021785736,0.9775620182355245,0.04578102017597606,41.83834820759089,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p15_wssttta0p55_wsstraw0_raw.csv
wcur0p375_wprev0p15_wssttta0p375_wsstraw0p1_raw,0.375,0.15,0.375,0.1,,0.0,0.0,1.0,hard,33.98666869019853,0.9980063925186793,0.9775426963965098,0.045736954319484845,41.83831852946465,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p15_wssttta0p375_wsstraw0p1_raw.csv
wcur0p325_wprev0p15_wssttta0p45_wsstraw0p075_raw,0.325,0.15,0.45,0.075,,0.0,0.0,1.0,hard,33.98665507677414,0.998007383942604,0.9775554855664571,0.04576109780561334,41.83828815595146,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p15_wssttta0p45_wsstraw0p075_raw.csv
wcur0p275_wprev0p225_wssttta0p4_wsstraw0p1_raw,0.275,0.225,0.4,0.1,,0.0,0.0,1.0,hard,33.98657435977832,0.9980069021383922,0.9775474851330122,0.04574509597732686,41.83822055092004,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p225_wssttta0p4_wsstraw0p1_raw.csv
wcur0p3_wprev0p2_wssttta0p4_wsstraw0p1_raw,0.3,0.2,0.4,0.1,,0.0,0.0,1.0,hard,33.986549076885495,0.9980068420370419,0.9775477702418963,0.045744841582200026,41.83819598642714,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p2_wssttta0p4_wsstraw0p1_raw.csv
wcur0p275_wprev0p175_wssttta0p525_wsstraw0p025_raw,0.275,0.175,0.525,0.025,,0.0,0.0,1.0,hard,33.98654565893043,0.9980080977082253,0.9775605991482734,0.045780339153134265,41.83815476517007,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p175_wssttta0p525_wsstraw0p025_raw.csv
wcur0p325_wprev0p175_wssttta0p4_wsstraw0p1_raw,0.325,0.175,0.4,0.1,,0.0,0.0,1.0,hard,33.98649658031898,0.9980067277948061,0.9775480146209399,0.04574434210517211,41.838144292119345,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p175_wssttta0p4_wsstraw0p1_raw.csv
wcur0p35_wprev0p225_wssttta0p35_wsstraw0p075_raw,0.35,0.225,0.35,0.075,,0.0,0.0,1.0,hard,33.98651681064185,0.9980064431826273,0.9775264322757721,0.045735566430084876,41.83813720142899,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p225_wssttta0p35_wsstraw0p075_raw.csv
wcur0p375_wprev0p2_wssttta0p35_wsstraw0p075_raw,0.375,0.2,0.35,0.075,,0.0,0.0,1.0,hard,33.98646968391034,0.9980063527822495,0.9775267233451207,0.045734336097181465,41.83809257509972,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p2_wssttta0p35_wsstraw0p075_raw.csv
wcur0p3_wprev0p15_wssttta0p525_wsstraw0p025_raw,0.3,0.15,0.525,0.025,,0.0,0.0,1.0,hard,33.98648152336482,0.9980079710483551,0.9775608027974765,0.04577971737599,41.83809152049793,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p15_wssttta0p525_wsstraw0p025_raw.csv
wcur0p325_wprev0p225_wssttta0p35_wsstraw0p1_raw,0.325,0.225,0.35,0.1,,0.0,0.0,1.0,hard,33.98644716737877,0.9980063398679098,0.9775332987308503,0.045731425149036414,41.83808895374986,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p225_wssttta0p35_wsstraw0p1_raw.csv
wcur0p35_wprev0p15_wssttta0p4_wsstraw0p1_raw,0.35,0.15,0.4,0.1,,0.0,0.0,1.0,hard,33.98641665519833,0.998006571829319,0.9775482103228569,0.04574402433548433,41.83806445814899,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p15_wssttta0p4_wsstraw0p1_raw.csv
wcur0p35_wprev0p2_wssttta0p35_wsstraw0p1_raw,0.35,0.2,0.35,0.1,,0.0,0.0,1.0,hard,33.986407064159685,0.998006246984005,0.9775336200992266,0.04573090582610651,41.83804997460995,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p2_wssttta0p35_wsstraw0p1_raw.csv
wcur0p375_wprev0p175_wssttta0p35_wsstraw0p1_raw,0.375,0.175,0.35,0.1,,0.0,0.0,1.0,hard,33.98633972611263,0.9980060850580533,0.977533849577109,0.04573005876833728,41.8379838180785,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p175_wssttta0p35_wsstraw0p1_raw.csv
wcur0p375_wprev0p225_wssttta0p4_wsstraw0_raw,0.375,0.225,0.4,0.0,,0.0,0.0,1.0,hard,33.9863540169615,0.9980066458384196,0.9775189146399498,0.04574200239973531,41.83794771647245,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p225_wssttta0p4_wsstraw0_raw.csv
wcur0p375_wprev0p225_wssttta0p375_wsstraw0p025_raw,0.375,0.225,0.375,0.025,,0.0,0.0,1.0,hard,33.98612825060023,0.9980065067609151,0.977517641087373,0.045739972054434475,41.8377226292316,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p225_wssttta0p375_wsstraw0p025_raw.csv
wcur0p275_wprev0p175_wssttta0p5_wsstraw0p05_raw,0.275,0.175,0.5,0.05,,0.0,0.0,1.0,hard,33.98598433278578,0.9980077281594276,0.9775581791996956,0.04577492126215172,41.83759721761744,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p175_wssttta0p5_wsstraw0p05_raw.csv
wcur0p3_wprev0p15_wssttta0p5_wsstraw0p05_raw,0.3,0.15,0.5,0.05,,0.0,0.0,1.0,hard,33.98591982197159,0.9980075826247533,0.9775583604971568,0.045774521108251066,41.83753299649793,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p15_wssttta0p5_wsstraw0p05_raw.csv
wcur0p275_wprev0p2_wssttta0p425_wsstraw0p1_raw,0.275,0.2,0.425,0.1,,0.0,0.0,1.0,hard,33.98560529152365,0.9980067436893781,0.9775501733024915,0.045749837022352344,41.8372464262202,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p2_wssttta0p425_wsstraw0p1_raw.csv
wcur0p3_wprev0p175_wssttta0p425_wsstraw0p1_raw,0.3,0.175,0.425,0.1,,0.0,0.0,1.0,hard,33.985560116628626,0.9980066299438477,0.9775504077474276,0.04574911287782015,41.837202486030925,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p175_wssttta0p425_wsstraw0p1_raw.csv
wcur0p375_wprev0p225_wssttta0p35_wsstraw0p05_raw,0.375,0.225,0.35,0.05,,0.0,0.0,1.0,hard,33.98559764271458,0.9980061640342076,0.9775151669979095,0.045734989807533565,41.83719498130058,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p225_wssttta0p35_wsstraw0p05_raw.csv
wcur0p325_wprev0p15_wssttta0p425_wsstraw0p1_raw,0.325,0.15,0.425,0.1,,0.0,0.0,1.0,hard,33.985487567716106,0.9980065743128459,0.9775506029526393,0.0457488013470235,41.837130616804416,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p15_wssttta0p425_wsstraw0p1_raw.csv
wcur0p3_wprev0p225_wssttta0p35_wsstraw0p125_raw,0.3,0.225,0.35,0.125,,0.0,0.0,1.0,hard,33.98538758404134,0.9980057184894879,0.9775358577569325,0.045722744262699656,41.83704812196673,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p225_wssttta0p35_wsstraw0p125_raw.csv
wcur0p325_wprev0p2_wssttta0p35_wsstraw0p125_raw,0.325,0.2,0.35,0.125,,0.0,0.0,1.0,hard,33.98535462077903,0.9980057314038276,0.977536157766978,0.045722033790661955,41.83701725715463,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p2_wssttta0p35_wsstraw0p125_raw.csv
wcur0p35_wprev0p175_wssttta0p35_wsstraw0p125_raw,0.35,0.175,0.35,0.125,,0.0,0.0,1.0,hard,33.985294355354114,0.9980056544144948,0.977536374827226,0.04572156124583368,41.83695790900387,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p35_wprev0p175_wssttta0p35_wsstraw0p125_raw.csv
wcur0p375_wprev0p15_wssttta0p35_wsstraw0p125_raw,0.375,0.15,0.35,0.125,,0.0,0.0,1.0,hard,33.985206715149864,0.9980054353674253,0.9775365754961968,0.04572056629646492,41.83687134575388,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p375_wprev0p15_wssttta0p35_wsstraw0p125_raw.csv
wcur0p275_wprev0p225_wssttta0p375_wsstraw0p125_raw,0.275,0.225,0.375,0.125,,0.0,0.0,1.0,hard,33.98510812339546,0.9980058684945107,0.9775413900613785,0.04572872489322132,41.836768664698845,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p225_wssttta0p375_wsstraw0p125_raw.csv
wcur0p3_wprev0p2_wssttta0p375_wsstraw0p125_raw,0.3,0.2,0.375,0.125,,0.0,0.0,1.0,hard,33.98508255293128,0.9980058804154396,0.9775416766603787,0.045728528684412593,41.83674413137585,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p3_wprev0p2_wssttta0p375_wsstraw0p125_raw.csv
wcur0p275_wprev0p175_wssttta0p475_wsstraw0p075_raw,0.275,0.175,0.475,0.075,,0.0,0.0,1.0,hard,33.98511764578499,0.9980071902275085,0.9775545249382654,0.04576589913388792,41.836738038758796,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p275_wprev0p175_wssttta0p475_wsstraw0p075_raw.csv
wcur0p325_wprev0p175_wssttta0p375_wsstraw0p125_raw,0.325,0.175,0.375,0.125,,0.0,0.0,1.0,hard,33.98502967825813,0.9980058287580807,0.9775419140855471,0.04572811707330402,41.8366922448311,experiments/hat_hat_ssttta_sstraw_full120_20260512/wcur0p325_wprev0p175_wssttta0p375_wsstraw0p125_raw.csv
